Issuekey(CUS);Assignee;ACount;Model-Dimensions;Model-Error;Process-Missing Comment;Process-Zip;Model-Detail;Model-Geometry;Texture-Color;Texture-Appearance;Time
AMZCUS5-5412;bijaylax(2020-01-08 01:29:00);1;;;;;2020-02-14 13:47:18;2020-02-14 13:47:18;2020-01-28 18:01:11;2020-02-14 13:47:18;3
AMZCUS5-11391;bijaylax(2020-02-14 08:55:18);1;;;;;2020-02-14 13:33:08;2020-02-14 13:33:08;;;3
AMZCUS4-39085;richard(2020-01-22 14:20:38)->cn.devaiamn(2020-01-31 01:45:12)->abraham(2020-02-07 21:56:34);3;;;;;2020-02-11 23:30:34;2020-01-31 02:24:11;2020-02-17 21:26:24;;3
AMZCUS4-166370;affabien(2019-11-22 18:18:45)->pooshree(2019-12-23 18:00:37)->raghulj(2020-01-03 17:27:09)->natrajar(2020-01-18 01:07:00)->richard(2020-02-14 10:32:28)->abraham(2020-02-27 04:00:12);6;;;;2020-02-14 13:10:06;2020-01-18 01:11:23;;2020-01-18 01:11:23;2020-01-03 17:28:02;3
AMZCUS5-12024;balamurugan(2020-01-09 16:56:38)->arvind(2020-02-20 13:55:11)->pooshree(2020-02-26 17:39:31);3;;2020-01-21 12:40:34;;2020-02-14 12:53:30;;2020-01-09 17:17:03;2020-02-26 17:39:48;2020-02-26 17:39:48;3
AMZCUS4-147299;arvind(2019-11-11 17:30:39)->natrajar(2019-11-13 19:54:27)->richard(2020-02-14 12:24:53);3;;;;2020-02-19 09:52:28;;;2020-02-14 12:46:01;2019-11-14 02:08:55;3
AMZCUS5-5873;thandra(2019-12-25 16:26:13);1;;;;;2019-12-25 16:40:56;2020-02-14 12:33:22;2020-02-19 12:03:59;2019-12-25 16:40:56;3
AMZCUS5-12610;natrajar(2020-01-16 22:34:00)->raghulj(2020-01-27 14:30:14);2;;;;2020-02-06 14:39:49;2020-01-16 23:00:01;2020-02-14 12:32:59;2020-02-14 12:32:59;;3
AMZCUS5-2111;natrajar(2019-12-16 21:35:57)->bijaylax(2020-01-28 01:03:37);2;;2020-01-08 19:36:12;;;2020-02-14 12:28:02;2020-02-14 12:28:02;;2020-02-14 12:28:02;3
AMZCUS5-5412;bijaylax(2020-01-08 01:29:00);1;;;;;2020-02-14 13:47:18;2020-02-14 13:47:18;2020-01-28 18:01:11;2020-02-14 13:47:18;3
AMZCUS5-11391;bijaylax(2020-02-14 08:55:18);1;;;;;2020-02-14 13:33:08;2020-02-14 13:33:08;;;3
AMZCUS4-39085;richard(2020-01-22 14:20:38)->cn.devaiamn(2020-01-31 01:45:12)->abraham(2020-02-07 21:56:34);3;;;;;2020-02-11 23:30:34;2020-01-31 02:24:11;2020-02-17 21:26:24;;3
AMZCUS4-166370;affabien(2019-11-22 18:18:45)->pooshree(2019-12-23 18:00:37)->raghulj(2020-01-03 17:27:09)->natrajar(2020-01-18 01:07:00)->richard(2020-02-14 10:32:28)->abraham(2020-02-27 04:00:12);6;;;;2020-02-14 13:10:06;2020-01-18 01:11:23;;2020-01-18 01:11:23;2020-01-03 17:28:02;3
AMZCUS5-12024;balamurugan(2020-01-09 16:56:38)->arvind(2020-02-20 13:55:11)->pooshree(2020-02-26 17:39:31);3;;2020-01-21 12:40:34;;2020-02-14 12:53:30;;2020-01-09 17:17:03;2020-02-26 17:39:48;2020-02-26 17:39:48;3
AMZCUS4-147299;arvind(2019-11-11 17:30:39)->natrajar(2019-11-13 19:54:27)->richard(2020-02-14 12:24:53);3;;;;2020-02-19 09:52:28;;;2020-02-14 12:46:01;2019-11-14 02:08:55;3
AMZCUS5-5873;thandra(2019-12-25 16:26:13);1;;;;;2019-12-25 16:40:56;2020-02-14 12:33:22;2020-02-19 12:03:59;2019-12-25 16:40:56;3
AMZCUS5-12610;natrajar(2020-01-16 22:34:00)->raghulj(2020-01-27 14:30:14);2;;;;2020-02-06 14:39:49;2020-01-16 23:00:01;2020-02-14 12:32:59;2020-02-14 12:32:59;;3
